Population (Millions of people),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,9.855,9.863,9.855,9.858,9.853,9.858,9.859,9.865,9.876,9.928,9.948,9.987,10.022,10.068,10.101,10.131,10.143,10.17,10.192,10.214,10.239,10.263,10.31,10.356,10.396,10.446,10.511,10.585,10.667,10.753,10.84,11.001,11.076,11.138,11.181,11.237,11.311,11.352,11.411,11.47,11.529,11.589,11.649,11.71,11.77
Belize,0.15,0.15,0.153,0.157,0.162,0.166,0.171,0.176,0.179,0.184,0.189,0.194,0.199,0.205,0.211,0.217,0.222,0.23,0.239,0.243,0.25,0.257,0.265,0.274,0.283,0.292,0.301,0.312,0.322,0.323,0.324,0.332,0.341,0.35,0.357,0.366,0.376,0.386,0.396,0.406,0.417,0.428,0.439,0.451,0.462
Benin,3.636,3.763,3.878,4.004,4.13,4.267,4.404,4.54,4.687,4.826,4.978,5.149,5.332,5.522,5.714,5.906,6.094,6.282,6.47,6.664,6.866,7.077,7.295,7.521,7.75,7.982,8.217,8.455,8.697,8.945,9.199,9.461,9.729,9.998,10.272,10.552,10.836,11.125,11.423,11.722,12.026,12.335,12.649,12.967,13.291
Bhutan,0.413,0.424,0.435,0.445,0.456,0.469,0.484,0.501,0.517,0.53,0.536,0.535,0.528,0.519,0.512,0.509,0.513,0.521,0.534,0.549,0.564,0.581,0.598,0.616,0.634,0.65,0.666,0.679,0.692,0.705,0.717,0.729,0.742,0.754,0.766,0.779,0.791,0.804,0.817,0.83,0.844,0.857,0.871,0.885,0.9
Bolivia,5.161,5.587,5.703,5.822,5.944,6.068,6.195,6.324,6.456,6.591,6.728,6.869,7.012,7.213,7.419,7.567,7.717,7.871,8.026,8.183,8.34,8.496,8.653,8.81,8.968,9.125,9.283,9.441,9.6,9.759,9.918,10.078,10.239,10.4,10.562,10.725,10.896,11.071,11.248,11.428,11.611,11.796,11.985,12.177,12.372
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.78,3.752,3.75,3.759,3.767,3.771,3.776,3.779,3.781,3.782,3.779,3.774,3.764,3.747,3.722,3.689,3.648,3.605,3.566,3.536,3.517,3.507,3.504,3.502,3.498,3.492,3.484,3.475,3.466
Botswana,0.98,0.998,1.035,1.073,1.113,1.154,1.197,1.241,1.286,1.333,1.382,1.424,1.465,1.506,1.546,1.586,1.624,1.661,1.696,1.728,1.758,1.784,1.808,1.83,1.852,1.876,1.901,1.928,1.955,1.982,2.007,2.051,2.089,2.129,2.169,2.209,2.25,2.292,2.335,2.378,2.422,2.467,2.513,2.56,2.607
Brazil,118.563,121.213,123.885,126.573,129.273,131.978,134.653,137.268,139.819,142.307,146.593,149.094,151.547,153.986,156.431,158.875,163.538,166.104,168.693,171.256,173.766,176.209,178.499,180.708,182.865,184.991,187.062,189.038,191.01,192.981,194.891,196.604,198.315,200.004,201.718,203.476,205.157,206.805,208.325,209.791,211.203,212.561,213.862,215.108,216.298
Brunei Darussalam,no data,no data,no data,no data,no data,0.222,0.226,0.234,0.241,0.246,0.253,0.26,0.267,0.274,0.281,0.287,0.295,0.302,0.31,0.317,0.325,0.333,0.344,0.35,0.36,0.359,0.365,0.37,0.375,0.38,0.387,0.393,0.399,0.403,0.408,0.412,0.417,0.429,0.434,0.44,0.445,0.45,0.456,0.461,0.461
Bulgaria,8.808,8.834,8.859,8.881,8.897,8.903,8.901,8.889,8.865,8.826,8.771,8.697,8.607,8.507,8.407,8.312,8.225,8.162,8.105,8.067,8.15,7.891,7.846,7.801,7.761,7.719,7.679,7.64,7.607,7.564,7.505,7.327,7.285,7.246,7.202,7.154,7.102,7.05,7.01,6.97,6.93,6.889,6.847,6.806,6.765
Burkina Faso,6.823,6.985,7.158,7.341,7.531,7.728,7.931,8.14,8.356,8.58,8.811,9.05,9.297,9.552,9.817,10.09,10.373,10.666,10.969,11.283,11.608,11.945,12.293,12.655,13.031,13.422,13.829,14.252,14.69,15.141,15.605,16.082,16.571,17.073,17.586,18.111,18.646,19.193,19.46,19.996,20.542,21.099,21.666,22.243,22.83
Burundi,4.09,4.21,4.334,4.461,4.591,4.726,4.864,5.007,5.154,5.305,5.46,5.62,5.78,5.77,5.87,5.98,6.09,6.19,6.3,6.489,6.684,6.884,7.091,7.26,7.478,7.512,7.737,7.969,8.232,8.504,8.776,9.048,9.329,9.618,9.907,10.204,10.53,10.867,11.193,11.529,11.875,12.231,12.598,12.976,13.365
Cabo Verde,0.289,0.294,0.299,0.305,0.312,0.318,0.325,0.332,0.339,0.346,0.354,0.363,0.371,0.38,0.379,0.389,0.399,0.408,0.417,0.426,0.435,0.444,0.452,0.46,0.468,0.475,0.481,0.486,0.492,0.497,0.502,0.508,0.514,0.52,0.526,0.533,0.54,0.546,0.553,0.559,0.566,0.573,0.58,0.587,0.594
Cambodia,6.718,6.775,6.945,7.196,7.475,7.743,7.99,8.228,8.467,8.724,9.009,9.324,9.659,10.007,10.43,10.769,11.091,11.396,11.685,11.96,12.223,12.473,12.709,12.934,13.149,13.356,13.555,13.747,13.941,14.144,14.365,14.605,14.864,15.087,15.313,15.543,15.776,16.013,16.253,16.497,16.744,16.995,17.25,17.509,17.772
Cameroon,8.823,9.079,9.335,9.59,9.848,10.111,10.389,10.686,10.999,11.332,11.685,12.045,12.412,12.787,13.168,13.537,13.916,14.305,14.706,15.117,15.541,15.976,16.423,16.883,17.356,17.842,18.341,18.855,19.383,19.926,20.424,20.934,21.458,21.994,22.544,23.108,23.685,24.277,24.884,25.506,26.144,26.798,27.468,28.154,28.858
Canada,24.471,24.785,25.083,25.336,25.577,25.813,26.067,26.398,26.751,27.215,27.632,27.987,28.324,28.651,28.96,29.263,29.57,29.868,30.124,30.367,30.647,30.971,31.309,31.603,31.901,32.204,32.529,32.849,33.199,33.581,33.958,34.298,34.665,35.034,35.392,35.678,36.052,36.489,36.994,37.465,37.821,38.176,38.529,38.88,39.23
Central African Republic,2.279,2.348,2.407,2.467,2.526,2.595,2.684,2.741,2.795,2.852,2.913,2.98,3.051,3.125,3.201,3.276,3.35,3.425,3.498,3.57,3.638,3.704,3.767,3.83,3.894,3.961,4.032,4.107,4.185,4.266,4.35,4.435,4.522,4.611,4.701,4.794,4.888,4.983,5.081,5.181,5.282,5.386,5.492,5.599,5.709
Chad,4.412,4.522,4.636,4.751,4.87,4.992,5.117,5.245,5.376,5.51,5.648,5.784,5.922,6.064,6.21,6.596,6.761,6.932,7.108,7.29,7.478,7.665,7.857,8.6,8.815,9.035,9.261,9.493,9.73,9.973,10.223,10.478,10.74,11.009,11.284,11.566,11.855,12.185,12.49,12.802,13.122,13.45,13.787,14.131,14.485
Chile,11.174,11.36,11.545,11.731,11.917,12.102,12.317,12.533,12.748,12.963,13.179,13.422,13.737,13.957,14.172,14.381,14.585,14.783,14.975,15.162,15.343,15.52,15.692,15.857,16.022,16.183,16.348,16.518,16.698,16.881,17.064,17.254,17.443,17.612,17.788,17.971,18.167,18.355,18.545,18.736,18.93,19.125,19.323,19.523,19.724
"China, People's Republic of",987.05,1000.72,1016.54,1030.08,1043.57,1058.51,1075.07,1093,1110.26,1127.04,1143.33,1158.23,1171.71,1185.17,1198.5,1211.21,1223.89,1236.26,1247.61,1257.86,1267.43,1276.27,1284.53,1292.27,1299.88,1307.56,1314.48,1321.29,1328.02,1334.5,1340.91,1347.35,1354.04,1360.72,1367.82,1374.62,1382.71,1390.08,1395.38,1400.174,1404.444,1408.166,1411.333,1411.179,1411.024
Colombia,28.447,29.08,29.718,30.36,31.004,30.794,31.433,32.092,32.764,33.443,34.125,34.834,35.53,36.208,36.863,37.49,38.1,38.6,39.2,39.7,40.296,40.814,41.329,41.849,42.368,42.889,43.406,43.927,44.451,44.979,45.51,46.045,46.582,47.121,47.662,48.203,48.748,49.292,49.834,50.382,50.886,51.395,51.858,52.324,52.795
Comoros,0.333,0.342,0.35,0.358,0.362,0.373,0.385,0.398,0.41,0.424,0.436,0.447,0.457,0.466,0.476,0.486,0.497,0.507,0.518,0.529,0.54,0.552,0.564,0.576,0.589,0.604,0.619,0.635,0.652,0.669,0.686,0.705,0.724,0.743,0.763,0.784,0.805,0.827,0.849,0.872,0.896,0.92,0.944,0.968,0.994
"Congo, Dem. Rep. of the",26.314,27.182,28.079,29.006,29.963,30.952,31.973,33.028,34.118,35.244,36.407,37.608,38.85,40.132,41.456,42.824,43.91,44.838,45.734,46.649,48.049,49.449,52.602,56.09,59.835,63.845,65.939,68.087,70.291,72.553,74.877,77.267,79.585,81.972,84.432,86.964,89.573,92.261,95.028,97.879,100.816,103.84,106.955,110.164,113.469
"Congo, Republic of ",1.589,1.638,1.689,1.741,1.794,1.85,1.907,1.966,2.026,2.154,2.22,2.288,2.345,2.404,2.464,2.525,2.588,2.653,2.719,2.787,2.857,2.929,3.002,3.077,3.154,3.233,3.313,3.396,3.481,3.568,3.657,3.749,3.843,3.939,4.037,4.138,4.241,4.347,4.456,4.568,4.682,4.799,4.919,5.042,5.168
